episode,avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,lower_reward,qos_rate,qos_success_rate,total_energy,total_reward,total_success_qos,total_violate_qos,total_violations,upper_q_max,upper_q_mean,upper_q_min,upper_reward,zeta_lower,zeta_upper
20,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
21,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
22,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
23,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
24,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
25,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
26,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
27,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
28,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
29,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
30,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
31,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
32,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
33,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
34,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
35,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
36,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
37,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
38,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
39,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
40,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
41,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
42,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
43,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
44,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
45,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
46,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
47,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
48,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
49,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
50,0.01000000,0,0,0,0,0,1.00000000,0,0,0,5.00000000,3.00000000,0.75000000,2.50000000,15.00000000,15,5,0,0,0,0,10.00000000,1.00000000,1.00000000
